S0,S101,S110,S111,S102,S103,S104,S105,S200,S201,S300,S600,S601,S602,S604,S701,S702,S704,S800,S801,S802,S900,S1100,S1400,S1500,S1501,S1502,S1001,S113,S114,S106,S107,S202
42682.9097733449,1917.6,1924.46301269531,76,0,7.93675756454468,0,1.08168113231659,32.5680541992188,,119.792468238027,1.19844447245101,1.19844447245101,1.116574687,1.11824825211106,1.61305660377358,1.87821698113207,2.4005,26.2044207375005,26.2044207375005,,24.3313084112149,,,,,,32.4138020046585,,,55.1026798078301,1.08887626172174,
42682.9100305555,1918,1924.46301269531,76,0,7.53371095657349,0.0732772871851921,1.12520349025726,32.2703102111816,,121.676209547547,1.19844205073893,1.19844205073893,1.116574687,1.11832044575665,1.60807876712329,1.84049657534247,2.33318493150685,26.2094281079018,26.2094281079018,,24.3218918918919,,,,,,32.4008508534872,,,65.2675161970035,0.919293447890616,
42682.9102826042,1918.4,1924.46301269531,76,0,7.13800764083862,0,1.16508185863495,32.097575378418,,124.871584232236,1.19843885575187,1.19843885575187,1.116574687,1.11838332851334,1.60281683168317,1.82385148514852,2.14493564356435,26.2106384806114,26.2106384806114,,24.319702970297,,,,,,32.4128456726546,,,65.4304988131707,0.917003554738642,
42682.9104770602,1918.8,1924.46301269531,76,0,6.73499965667725,0.0732772871851921,1.15557754039764,30.9194732666016,,125.2397629923,1.19843544676094,1.19843544676094,1.116574687,1.11841680759039,1.59890384615385,1.80810897435897,2.4005,26.2164688843947,26.2164688843947,,24.3071794871795,,,,,,32.4115209245544,,,86.3305777624318,0.695002877950274,
42682.911136875,1919.2,1924.46301269531,76,0,6.33199214935303,0,1.08395898342133,33.054190826416,,127.427812457533,1.19842249330273,1.19842249330273,1.116574687,1.11847403623108,1.58332236842106,1.79904887218045,2.34504887218045,26.2207954736581,26.2207954736581,,24.3036090225565,,,,,,32.4097041875043,,,25.4490596782187,2.35765096072892,
42682.9114170486,1919.6,1924.46301269531,76,0,5.94359350204468,0,1.06781566143036,32.4245506286621,,127.409249616893,1.19840903486773,1.19840903486773,1.116574687,1.11856274228347,1.56478947368421,1.75724780701754,2.4005,26.2280744251452,26.2280744251452,,24.2633333333333,,,,,,32.4155807354221,,,58.8474406724848,1.01958554721062,
42682.911701794,1920,1924.46301269531,76,0,5.53324222564697,0.0732772871851921,1.05685794353485,31.1940864562988,,130.033297453805,1.19839818056564,1.19839818056564,1.116574687,1.11862116947509,1.55453947368421,1.74424780701754,2.4005,26.2360425748323,26.2360425748323,,24.2619298245614,,,,,,32.3988945163715,,,58.9854479000035,1.01720004062216,
42682.9121256944,1920.4,1924.46301269531,76,0,5.13753890991211,0.0732772871851921,1.07156908512115,32.3532302856445,,135.125465123096,1.19838661212438,1.19838661212438,1.116574687,1.11868203174301,1.5407149122807,1.72715789473684,2.19010233918129,26.2382444526717,26.2382444526717,,24.2300584795321,,,,,,32.3942500384968,,,38.904573382786,1.54223513543392,
42682.912609537,1920.8,1924.46301269531,76,0,4.73453092575073,0,1.1547554731369,33.0336456298828,,128.467615146642,1.198377481255,1.198377481255,1.116574687,1.11879410427444,1.52179591836735,1.70606632653061,2.40050000000001,26.241688319615,26.241688319615,,24.1757142857143,,,,,,32.4175615398545,,,34.6962016184352,1.72929592293238,
42682.9128940046,1921.2,1924.46301269531,76,0,4.33152341842651,0.0732772871851921,1.15509045124054,32.4270225524902,,127.457795274936,1.19837361401406,1.19837361401406,1.116574687,1.1186714047971,1.50506304347826,1.6889152173913,2.30084565217391,26.2448355964992,26.2448355964992,,24.1252173913044,,,,,,32.4081906061332,,,59.0283997176889,1.01645987841374,
